,Title,Summary,Link,Time,Source,Address,State,Zip
17,"Florida Man Shoots Raccoon Off Boat, FWC Investigating","<img width=""150"" height=""103"" src=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida attorney could be facing charges after posting a video on social media showing him kill an animal.",https://miami.cbslocal.com/2019/05/12/florida-man-shoots-raccoon-off-boat/,2019-05-12T15:15:36Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
18,Tall grass fines lead city to foreclose on Florida man's home,"Sign in using you account with: {* loginWidget *}

Sign in using your wftv profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.wftv.com/news/florida/tall-grass-fines-lead-city-to-foreclose-on-florida-man-s-home/948607144,2019-05-12T15:01:11Z,WFTV,"490 E South St, Orlando, FL 32801, USA",FL,32801
19,"Florida Man Speeds Down Highway While Standing Out Of Sunroof, Says He’d Rather Go To Jail Than Home To His Wife","<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida man decided he wanted to drive his car on a busy
expressway while standing through his sunroof.",https://miami.cbslocal.com/2019/05/12/florida-man-highway-standing-out-sunroof/,2019-05-12T14:01:15Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
20,"Man dead after downtown shooting, according to JSO","<p>A man in his 30's was shot several times on the corner of Church and Ocean Streets in downtown Jacksonville around 5:15 a.m. Sunday, according to the Jacksonville Sheriff's Office. </p><p>The wounded man was taken to the University of Florida Health, where he died shortly afterward.</p><p>Investigators said the man was standing outside a black and silver car when he was shot. Detectives are not sure who the car belongs to.</p><p>The area is littered with evidence markers that JSO said shows where gunshot casing landed.</p><p>Police are asking for the community's help to locate the shooter. If you have any information about the deadly shooting, you're asked to call Crime Stoppers at 1-866-845-TIPS (8477). </p><p> </p>",https://www.news4jax.com/top-stories/one-man-killed-in-downtown-shooting-according-to-jso,2019-05-12T13:08:21Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
21,Police: Florida man says he shot wife over 'disrespect',"PLANTATION, Fla. - A 73-year-old man shot his wife in the face this week inside their Plantation home, then walked to a neighbor's house and confessed that he'd killed her, authorities said.

Plantation police investigators said Fernando De Baere told them he shot Marisa Sherman, 47, because she wouldn't stop speaking disrespectfully.

Plantation police said De Baere shot her in the face, returned his .38-caliber handgun to a bedroom and then walked to a neighbor’s house to confess. The neighbor called 911.

Police said De Baere admitted to shooting his wife ""one or two times"" in the face while standing about 3 feet away from her.

De Baere was charged with murder and jailed without bond Saturday. Records did not show if he has an attorney.

Police say De Baere told them he shot his wife because he did not like the way she was talking to him during an argument. A police report says De Baere told officers exactly where to find the weapon.

Copyright 2019 by WPLG Local10.com. The Associated Press contributed to this report. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/police-florida-man-says-he-shot-wife-over-disrespect,2019-05-12T11:53:34Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
22,Tall grass fines lead city to foreclose on home,"DUNEDIN, Fla. - It’s true, a Florida man says his grass grew a little too tall. But he doesn’t think he should lose his house over it.

The city of Dunedin moved to foreclose on the home of 69-year-old Jim Ficken over $30,000 in unpaid code violation fines. The Tampa Bay Times reports that Ficken was fined $500 a day last summer because his grass was taller than 10 inches.

Ficken filed a lawsuit against the city seeking a nominal $1 in damages, relief from fines and an end to the city’s practice of fining people without considering ability to pay.

Last summer, Ficken says he was away for lengthy periods managing the estate of his deceased mother in South Carolina. Ficken says the man paid to mow his lawn then died unexpectedly.

Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/florida/tall-grass-fines-lead-city-to-foreclose-on-home,2019-05-12T11:18:59Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
26,Lawmen investigate shooting near Crestview,"CRESTVIEW — A man was taken to the hospital Sunday afternoon after he was shot during a fight at a home on Smokey Branch Road, according to the Okaloosa County Sheriff's Office.

The victim was identified as 45-year-old Tim Holt. He was shot in the left arm and the bullet reportedly traveled into his left side, according to the Sheriff's Office.

The shooting occurred about 2:30 p.m. outside a home at 5633 Smokey Branch Road east of Crestview, the Sheriff's Office reported.

No further details were available as of 8:30 p.m.",https://www.nwfdailynews.com/news/20190512/lawmen-investigate-shooting-near-crestview?rssfeed=true,2019-05-12T18:46:27Z,Northwest Florida Daily News,"2 Eglin Pkwy NE, Fort Walton Beach, FL 32548, USA",FL,32548
27,"Search for missing swimmer underway, possibly pulled out to sea due to rip current","Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Jenna Brew/SNNTV

LONGBOAT KEY, Fla. (WFLA) - A search is underway for a male swimmer possibly pulled out to sea.

Longboat Key Fire Rescue, Longboat Key Police, U.S. Coast Guard, and the Manatee County Sheriff's Office are using the help of five boats to locate a man who was potentially pulled under by a rip current

Longboat Key Fire Rescue Chief Paul Dezzi said at about 11 a.m. a witness called 911 saying a white shirtless man was in distress out ashore at Longboat Key Beach.

Witnesses say they never saw the man come back up for air. This is a developing story stick with WFLA for updates.",https://www.wfla.com/news/sarasota-county/search-for-missing-swimmer-underway-possibly-pulled-out-to-sea-due-to-rip-current/1997795595,2019-05-12T17:50:03Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
29,Florida Judge Rules Ex-Prosecutor Insane In Mom’s Killing,"<img width=""150"" height=""112"" src=""https://cbsmiami.files.wordpress.com/2018/11/gavel02.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2018/11/gavel02.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2018/11/gavel02.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A judge has ruled a former Florida prosecutor with schizophrenia is not guilty by reason of insanity in the slaying of his mother and beating of his father.",https://miami.cbslocal.com/2019/05/12/florida-judge-ex-prosecutor-insane-moms-killing/,2019-05-12T16:58:37Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
30,Unpaid Fines Over Tall Grass Leads Florida City To Foreclose On Man’s Home,"<img width=""150"" height=""100"" src=""https://cbsmiami.files.wordpress.com/2019/05/gettyimages-72824761.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/gettyimages-72824761.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/gettyimages-72824761.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />It’s hard to believe that letting your grass grow too long could lead to thousands of dollars of fines.",https://miami.cbslocal.com/2019/05/12/unpaid-fines-tall-grass-florida-city-foreclose/,2019-05-12T16:51:51Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
31,Utah man donates liver to save mom's life,"SPRINGVILLE, Utah. (WFLA/NBC) - A Utah man gave possibly the best Mother's day gift ever to his mom when he donated part of his liver to save her life.

Gwen Finlayson of Springville, Utah has been battling the complications of autoimmune hepatitis for 27 years. She was diagnosed with cirrhosis of the liver five years in.

Gwen was put on an organ transplant list last August and was warned that her age might preclude her from getting a new liver.

That's when her son, Brandon, stepped in and stepped up after researching the possibility of living organ donations, he gave a piece of his liver to save his mom's life.

""I'm not sure I have the words to describe how I feel about my son. I'm grateful that he is the kind of man that would do something like that, that he would risk his life for another human being, didn't have to be his mother, it would've been anybody,"" Gwen Finlayson said.

Both of their livers have already regenerated, growing to at least 90 percent of normal size.",http://www.wfla.com/national/utah-man-donates-liver-to-save-mom-s-life/1997540230,2019-05-12T15:06:12Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
32,Man who lied about being shot now faces federal charge,"The case of a man who Ocala police said lied about how he was shot late last year has been transferred to a federal court, where he is facing a federal charged in a hearing scheduled for Tuesday.

Federal officials said Michael Guell will have a change of plea and bond revocation hearing in Ocala federal court on Tuesday at 2 p.m. in front of Magistrate Judge Philip R. Lammens.

Guell, who was charged with possession of a firearm by a convicted felon and making false report of a crime in November 2018, had posted $21,000 bond and was released within a day of his arrest. Since then, prosecutors have dropped the local charges against Guell because he was indicted federally.

The 37-year-old Spring Hill man was picked up late last week and is being held by the United States Marshal at the Marion County Jail on a federal charge of possession of a firearm affecting commerce by a convicted felon.

In November, police officers went to Florida Hospital, now Adventheath Ocala, to investigate an incident involving a man at the facility with a gunshot wound. Guell had been shot in the stomach.

Guell told police he was in town for a job and was at an unknown hotel drinking when he decided to get pizza, according to an arrest report. He said he went out and while returning to the hotel, he stopped at a gas station and someone tried to rob him.

Guell said the robber fired two shots at him when he told the assailant he did not have anything. Guell said he called an Uber to take him to the hospital.

Police say Guell’s story changed significantly when they asked him more questions. According to the report, Guell eventually told officers he was drinking in his vehicle, pulled out a handgun, and accidentally fired two shots, one of which hit his stomach.

Guell gave several reasons for lying, one of them being that he is a convicted felon. He was later transferred to Ocala Regional Medical Center for further treatment and, upon his release, was arrested.

Federal officials in their charging document said Guell has five felony convictions, to include drugs, all from New Jersey.

A search warrant was served on the vehicle and law enforcement officials recovered 26 rounds of .40-caliber ammunition, seven .40-caliber casings, a black Ruger semi-automatic handgun, two bottles of Hoppes gun oil, a gun cleaning kit with brushes and a package of shooting targets. The gun, according to ATF Special Agent Dewane Krueger, was manufactured in Arizona and therefore crossed state lines prior to it being discovered in Florida.

Contact Austin L. Miller at 867-4118, austin.miller@starbanner.com or @almillerosb",https://www.ocala.com/news/20190512/man-who-lied-about-being-shot-now-faces-federal-charge?rssfeed=true,2019-05-12T13:25:47Z,Ocala.com,"2121 SW 19th Avenue Rd, Ocala, FL 34471, USA",FL,34471
33,Florida man who stood on sunroof while driving accused of felony domestic violence,"POLK COUNTY, Fla. (WFLA ) - A driver made a lot of people laugh this week when he stood up on his sunroof with his car on cruise control while driving on Interstate 4. But the story behind the story isn't funny at all.

The Polk County Sheriff's Office said 70-year-old Leonard Olsen was arrested not only for driving recklessly, but also for false imprisonment and domestic violence by strangulation.

RELATED: Florida man arrested for hanging out sunroof while driving on I-4

According to an arrest report, Olsen is accused of choking a 69-year-old woman on April 30 after she took too long to come to bed. The woman told deputies she had bruises on her throat and a hoarse voice.

Days later, after the woman came home from dinner, he allegedly ripped up the dress she had been wearing, accused her of having an affair and called her a vulgar name. Then he asked her for one of her bras and threatened to destroy every bra in her dresser. When she eventually gave him a bra, he tore it apart and demanded that she give him the pair of underwear she had been wearing. When she told him she was still wearing the underwear, he began ""pulling on the underwear causing the victim's body to shake back and forth until the underwear came loose from the victim's body,"" an arrest report states.

Once he was through destroying all of her clothing, Olsen began blaring music so she couldn't fall asleep. This lasted several hours, according to the victim.

The next day, the victim awoke to Olsen slamming dresser drawers, turning the lights on and off, and blaring music. Deputies said he pushed her onto their bed, straddled her and put his hand on her throat, then placed his thumb on her mouth, which she bit. Olsen got off of her and blocked the doorway to prevent her from leaving the room. After a few minutes, he let her pass through the doorway and she called 911.

The Polk County Sheriff's Office said detectives made contact with Olsen by phone on Tuesday and he agreed to turn himself in.

As deputies were on their way to meet him, they learned he had been pulled over by the Florida Highway Patrol for driving recklessly.

Olsen was arrested and booked into the South County Jail, where he faces three counts of felony domestic battery on a person 65 or older, one count of felony false imprisonment and one count of felony domestic battery by strangulation.",http://www.wfla.com/news/polk-county/lakeland-man-who-stood-on-sunroof-while-driving-accused-of-felony-domestic-violence/1997065259,2019-05-12T03:59:05Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
34,Man charged in fatal shooting outside nightclub extradited to Orlando,"ORLANDO, Fla. - The extradition of a man charged with the death of a 22-year-old man at a downtown Orlando nightclub in January has brought a sense of relief for the family of the victim.

Notier Misael Gomez, 27, is charged with first-degree murder with a firearm and attempted first-degree murder with a firearm in connection with the death of Keveon Smith.

Surveillance video from the morning of Jan. 26 showed Smith in the parking lot of Club Lit with a group of people.

The video showed a man walking up to Smith and hitting him on the head and then three men shooting toward him as he tried to run away.

Smith died at an area hospital. Two other people suffered injuries as a result of the shooting, according to Orlando police.

The Rev. James Morris is the pastor for the family and a friend. He continues to check in with Smith's parents since his death.

""When I talked to Keveon's mom, she says, 'Isn't this something? It's the day before Mother's Day,' and I said, 'It is something,'"" Morris said.

After months of investigation, federal agents tracked down Gomez in Murfreesboro, Tennessee, in April. He was extradited to Orlando on Friday.

""That arrest and that extradition says we are not going to let this die. This will not be another cold case file,"" Morris said.

Morris said the fight isn't over. Three people were seen shooting in the surveillance video, but there's only been one arrest.

""This should say to people, time out for it, because we're going to get you,"" Smith said.

Gomez went before a judge Saturday morning and was given no bond.

Officials have not said what role Gomez allegedly played in the shooting or if additional suspects are being sought.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/local/orlando/man-charged-in-fatal-shooting-outside-nightclub-extradited-to-orlando,2019-05-12T03:40:04Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
35,Officials: Man rescued from crane suffered electrical shock injuries,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

SARASOTA, Fla. (WFLA) - A man who had to be rescued from a crane in Sarasota Saturday night suffered electrical shock injuries, authorities said.

The incident occurred outside of The Hotel Indigo on the Boulevard of the Arts.

Sarasota fire officials tell News Channel 8 the man suffered serious burns, but did not provide any further information.

This is a developing story. Please check back for updates.",https://www.wfla.com/news/sarasota-county/officials-man-rescued-from-crane-suffered-electrical-shock-injuries/1997100812,2019-05-12T03:27:05Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
36,Video shows man scare off would-be burglars by firing gun,,https://www.wfla.com/video/video-shows-man-scare-off-would-be-burglars-by-firing-gun_20190512011909/1996963517,2019-05-12T01:20:30Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
37,New details surface after man arrested for hanging out sunroof while driving,New details surface after man arrested for hanging out sunroof while driving,http://www.wfla.com/video/new-details-surface-after-man-arrested-for-hanging-out-sunroof-while-driving_20190511222459/1996755672,2019-05-11T22:25:19Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
38,"Search on for man who broke into home, forcefully took child","Search on for man who broke into home, forcefully took child",http://www.wfla.com/video/search-on-for-man-who-broke-into-home-forcefully-took-child_20190511221551/1996742286,2019-05-11T22:20:01Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
